entity,year,plastic_production,ocean_pollution_share,code,recycled_share,incinerated_share,mismanaged_share,landfilled_share,mismanaged_per_capita
Asia (excl. China and India),2018,,,UNKNOWN,8.143375,18.53463,34.149826,39.17216,
Asia (excl. China and India),2019,,,UNKNOWN,8.351267,18.513683,33.74583,39.38922,
Australia,2019,,0.003267113,AUS,,,,,0.20894338
Bahamas,2019,,0.002041946,BHS,,,,,5.686375321
Bahrain,2019,,0.0,BHR,,,,,0.635588056
Bangladesh,2019,,2.515677038,BGD,,,,,6.268108387
Barbados,2019,,0.004594378,BRB,,,,,3.038327526
Belgium,2019,,0.003471308,BEL,,,,,0.19793743
Belize,2019,,0.038184384,BLZ,,,,,15.43846154
Benin,2019,,0.167337446,BEN,,,,,11.29861876
Bosnia and Herzegovina,2019,,0.000612584,BIH,,,,,16.82853681
Brazil,2019,,3.859175176,BRA,,,,,15.62046908
Brunei,2019,,0.013681036,BRN,,,,,1.598152425
Bulgaria,2019,,0.000714681,BGR,,,,,0.445285714
Burkina Faso,2019,,0.0,BFA,,,,,15.61429064
Cambodia,2019,,0.113634275,KHM,,,,,15.01152423
Cameroon,2019,,1.0894801,CMR,,,,,22.36814036
Canada,2019,,0.024299153,CAN,,,,,0.630483013
Cape Verde,2019,,0.0,CPV,,,,,6.487272727
Chile,2019,,0.032875325,CHL,,,,,1.623417054
China,2000,,,CHN,4.7811875,8.821573,60.803017,25.594213,
China,2001,,,CHN,5.210237,9.609698,59.054733,26.125332,
China,2002,,,CHN,5.6417065,10.40487,57.293118,26.660315,
China,2003,,,CHN,6.0726414,11.204407,55.523457,27.199492,
China,2004,,,CHN,6.505385,12.010195,53.741825,27.742598,
China,2005,,,CHN,6.9324255,12.820913,51.95479,28.291878,
China,2006,,,CHN,7.361401,13.638992,50.15437,28.845242,
China,2007,,,CHN,7.7904778,14.462739,48.343662,29.40313,
China,2008,,,CHN,8.205644,15.287558,46.536137,29.970661,
China,2009,,,CHN,8.62724,16.121347,44.71028,30.541138,
China,2010,,,CHN,9.063556,16.963223,42.862103,31.111118,
China,2011,,,CHN,9.495495,17.809065,41.007553,31.687883,
China,2012,,,CHN,9.926934,18.663284,39.13956,32.27022,
China,2013,,,CHN,10.358366,19.526173,37.258137,32.857323,
China,2014,,,CHN,10.742684,20.402584,35.385983,33.468746,
China,2015,,,CHN,11.2197,21.266891,33.464287,34.049118,
China,2016,,,CHN,11.647163,22.14718,31.551327,34.65433,
China,2017,,,CHN,12.039128,23.042185,29.63854,35.280148,
China,2018,,,CHN,12.489243,23.932241,27.691025,35.887497,
China,2019,,7.218992545,CHN,12.801141,23.762764,27.052067,36.384026,8.559308412
Colombia,2019,,0.044003929,COL,,,,,1.697570472
Comoros,2019,,0.0,COM,,,,,69.51586369
Congo,2019,,0.069017763,COG,,,,,12.13361829
Costa Rica,2019,,0.045943777,CRI,,,,,1.139263074
Cote d'Ivoire,2019,,0.488433399,CIV,,,,,11.33934751
Croatia,2019,,0.022869791,HRV,,,,,4.247941889
Cyprus,2019,,0.000306292,CYP,,,,,0.698081735
Democratic Republic of Congo,2019,,0.042880859,COD,,,,,15.78193592
Denmark,2019,,0.000918876,DNK,,,,,0.067567568
Djibouti,2019,,0.000408389,DJI,,,,,10.56365503
Dominica,2019,,0.005411156,DMA,,,,,15.02777778
Dominican Republic,2019,,0.640762544,DOM,,,,,18.06667287
EU-27,2019,,0.220223838,UNKNOWN,,,,,
East Timor,2019,,0.072999557,TLS,,,,,13.33642691
Ecuador,2019,,0.115982513,ECU,,,,,6.262058248
Egypt,2019,,0.252282385,EGY,,,,,14.29961748
El Salvador,2019,,0.082494604,SLV,,,,,3.361171367
Equatorial Guinea,2019,,0.041349399,GNQ,,,,,6.934365782
Eritrea,2019,,0.00490067,ERI,,,,,24.0457535
Estonia,2019,,0.001225167,EST,,,,,0.452488688
Europe,2000,,,UNKNOWN,4.4350724,14.542094,12.974696,68.048134,
Europe,2001,,,UNKNOWN,4.8575726,15.765712,12.603666,66.773056,
Europe,2002,,,UNKNOWN,5.2840734,17.00034,12.228789,65.48679,
Europe,2003,,,UNKNOWN,5.7134585,18.240551,11.851512,64.19448,
Europe,2004,,,UNKNOWN,6.1474333,19.489176,11.470602,62.892788,
Europe,2005,,,UNKNOWN,6.5762663,20.743938,11.087446,61.592346,
Europe,2006,,,UNKNOWN,7.005127,22.009491,10.700763,60.284615,
Europe,2007,,,UNKNOWN,7.4335413,23.282541,10.311633,58.972286,
Europe,2008,,,UNKNOWN,7.857827,24.552296,9.92206,57.66781,
Europe,2009,,,UNKNOWN,8.282662,25.83552,9.528665,56.353157,
Europe,2010,,,UNKNOWN,8.717985,27.131308,9.130713,55.019997,
Europe,2011,,,UNKNOWN,9.1653,28.428936,8.72891,53.676857,
Europe,2012,,,UNKNOWN,9.597319,29.726812,8.325814,52.350063,
Europe,2013,,,UNKNOWN,10.011501,31.043758,7.9192724,51.025467,
Europe,2014,,,UNKNOWN,10.433878,32.365795,7.509836,49.69049,
Europe,2015,,,UNKNOWN,10.883846,33.69418,7.0952907,48.326675,
Europe,2016,,,UNKNOWN,11.2864,35.048588,6.6819925,46.983017,
Europe,2017,,,UNKNOWN,11.679832,36.413742,6.266093,45.640327,
Europe,2018,,,UNKNOWN,12.079297,37.823994,5.840492,44.25621,
Europe,2019,,0.595431351,UNKNOWN,12.384406,37.74739,5.667553,44.200645,1.580226046
Fiji,2019,,0.037265508,FJI,,,,,4.334831461
Finland,2019,,0.0,FIN,,,,,0.473788865
France,2019,,0.023992861,FRA,,,,,0.426531552
French Guiana,2019,,0.000714681,GUF,,,,,0.432989691
Gabon,2019,,0.045433291,GAB,,,,,2.757017948
Gambia,2019,,0.042982956,GMB,,,,,14.9467632
Georgia,2019,,0.000306292,GEO,,,,,0.076807606
Germany,2019,,0.013681036,DEU,,,,,0.606774669
Ghana,2019,,0.427277127,GHA,,,,,17.09520679
Greece,2019,,0.022053013,GRC,,,,,0.430249212
Grenada,2019,,0.013272647,GRD,,,,,12.11607143
Guadeloupe,2019,,0.000408389,GLP,,,,,0.405
Guatemala,2019,,0.729178791,GTM,,,,,17.68972186
Guinea,2019,,0.239622322,GIN,,,,,11.58852087
Guinea-Bissau,2019,,0.025218029,GNB,,,,,10.65330557
Guyana,2019,,0.127213214,GUY,,,,,35.20434227
Haiti,2019,,0.70743207,HTI,,,,,21.12829619
Honduras,2019,,0.24870898,HND,,,,,14.97999179
Hong Kong,2019,,0.011434896,HKG,,,,,0.777434104
Iceland,2019,,0.0,ISL,,,,,0.445427729
India,2000,,,IND,5.072351,1.6886452,68.140015,25.098991,
India,2001,,,IND,5.518129,1.8104163,67.0225,25.648987,
India,2002,,,IND,5.967143,1.9341495,65.896065,26.202646,
India,2003,,,IND,6.4143167,2.058212,64.76735,26.760122,
India,2004,,,IND,6.8626175,2.183653,63.63214,27.321568,
India,2005,,,IND,7.304126,2.3092675,62.497868,27.888737,
India,2006,,,IND,7.748583,2.4366627,61.354862,28.459888,
India,2007,,,IND,8.192793,2.5648549,60.207165,29.035204,
India,2008,,,IND,8.615771,2.6906817,59.074093,29.619452,
India,2009,,,IND,9.048954,2.819237,57.925507,30.206303,
India,2010,,,IND,9.512734,2.9519954,56.745895,30.789371,
India,2011,,,IND,9.96875,3.084561,55.567894,31.378803,
India,2012,,,IND,10.419898,3.2184,54.38649,31.975197,
India,2013,,,IND,10.86092,3.3541615,53.204285,32.58064,
India,2014,,,IND,11.294254,3.4897249,52.02429,33.191742,
India,2015,,,IND,11.762998,3.6219816,50.823193,33.79184,
India,2016,,,IND,12.197806,3.757444,49.636204,34.40855,
India,2017,,,IND,12.617458,3.8932753,48.45246,35.036797,
India,2018,,,IND,13.01899,4.031769,47.269722,35.679527,
India,2019,,12.91663349,IND,13.333093,4.1608157,46.214355,36.29173,9.509608
Indonesia,2019,,5.751446208,IDN,,,,,3.045657286
Iran,2019,,0.094746278,IRN,,,,,5.981679813
Iraq,2019,,0.006840518,IRQ,,,,,12.51007377
Ireland,2019,,0.011741187,IRL,,,,,0.547931176
Israel,2019,,0.00336921,ISR,,,,,0.711351098
Italy,2019,,0.042268275,ITA,,,,,0.640842279
Jamaica,2019,,0.238295057,JAM,,,,,16.84972863
Japan,2019,,0.187348513,JPN,,,,,0.281286458
Jordan,2019,,0.000102097,JOR,,,,,12.31686795
Kazakhstan,2019,,0.001327265,KAZ,,,,,2.92393941
Kenya,2019,,0.026443196,KEN,,,,,5.514455815
Kiribati,2019,,0.0,KIR,,,,,0.627118644
Kuwait,2019,,0.000714681,KWT,,,,,0.627525553
Latvia,2019,,0.000918876,LVA,,,,,0.500786576
Lebanon,2019,,0.069834541,LBN,,,,,6.800175029
Lesotho,2019,,0.0,LSO,,,,,14.30164706
Liberia,2019,,0.269332631,LBR,,,,,8.087907636
Libya,2019,,0.089743511,LBY,,,,,27.81983178
Lithuania,2019,,0.000714681,LTU,,,,,0.375724638
Macau,2019,,0.034815173,UNKNOWN,,,,,
Madagascar,2019,,0.079125394,MDG,,,,,0.936260151
Malaysia,2019,,7.463107147,MYS,,,,,25.491518
Maldives,2019,,0.0,MDV,,,,,0.11299435
Malta,2019,,0.0,MLT,,,,,0.588636364
Marshall Islands,2019,,0.0,MHL,,,,,0.271186441
Martinique,2019,,0.00224614,MTQ,,,,,0.369680851
Mauritania,2019,,0.012966355,MRT,,,,,4.594785683
Mauritius,2019,,0.0,MUS,,,,,0.235433071
Mexico,2019,,0.358565656,MEX,,,,,3.375352731
Micronesia,2019,,0.003777599,UNKNOWN,,,,,
Middle East & North Africa,2000,,,UNKNOWN,2.8385525,0.4083155,46.085022,50.668125,
Middle East & North Africa,2001,,,UNKNOWN,2.9783854,0.40893826,45.760677,50.852,
Middle East & North Africa,2002,,,UNKNOWN,3.120995,0.41152158,45.43191,51.035587,
Middle East & North Africa,2003,,,UNKNOWN,3.2624445,0.4132549,45.104546,51.21977,
Middle East & North Africa,2004,,,UNKNOWN,3.4045367,0.4158622,44.77496,51.404636,
Middle East & North Africa,2005,,,UNKNOWN,3.5428393,0.41720885,44.4478,51.59214,
Middle East & North Africa,2006,,,UNKNOWN,3.6822584,0.42017192,44.117096,51.780476,
Middle East & North Africa,2007,,,UNKNOWN,3.821043,0.42305285,43.78638,51.969536,
Middle East & North Africa,2008,,,UNKNOWN,3.950186,0.42023295,43.46747,52.162098,
Middle East & North Africa,2009,,,UNKNOWN,4.083425,0.4205537,43.141823,52.3542,
Middle East & North Africa,2010,,,UNKNOWN,4.2234116,0.4244984,42.808033,52.544052,
Middle East & North Africa,2011,,,UNKNOWN,4.3600283,0.426279,42.478146,52.73554,
Middle East & North Africa,2012,,,UNKNOWN,4.493245,0.42845225,42.146996,52.9313,
Middle East & North Africa,2013,,,UNKNOWN,4.625987,0.43187827,41.813095,53.12904,
Middle East & North Africa,2014,,,UNKNOWN,4.7582517,0.43362236,41.48228,53.32585,
Middle East & North Africa,2015,,,UNKNOWN,4.9017944,0.43537682,41.147713,53.515106,
Middle East & North Africa,2016,,,UNKNOWN,5.042626,0.44025955,40.810375,53.706734,
Middle East & North Africa,2017,,,UNKNOWN,5.171647,0.44278595,40.48094,53.90462,
Middle East & North Africa,2018,,,UNKNOWN,5.30625,0.44417846,40.149452,54.100113,
Middle East & North Africa,2019,,,UNKNOWN,5.4478326,0.6075314,39.797066,54.14757,
Monaco,2019,,0.0,MCO,,,,,0.128205128
Montenegro,2019,,0.0,MNE,,,,,0.025477707
Morocco,2019,,0.183775108,MAR,,,,,8.101776705
Mozambique,2019,,0.259735486,MOZ,,,,,14.30652704
Myanmar,2019,,0.259735486,MMR,,,,,8.038338422
Namibia,2019,,0.000204195,NAM,,,,,8.373547094
Netherlands,2019,,0.027668364,NLD,,,,,0.890975025
New Zealand,2019,,0.006942615,NZL,,,,,0.358352498
Nicaragua,2019,,0.149572519,NIC,,,,,16.93583868
Nigeria,2019,,1.903093343,NGA,,,,,9.698005613
North America,2019,,4.499120942,UNKNOWN,,,,,5.257716269
North Korea,2019,,0.005104864,PRK,,,,,0.01254578
Norway,2019,,0.0,NOR,,,,,0.277746793
Oceania,2000,,,UNKNOWN,3.8013995,9.345559,11.801067,75.05197,
Oceania,2001,,,UNKNOWN,3.963976,9.463215,11.541275,75.031746,
Oceania,2002,,,UNKNOWN,4.1322722,9.582663,11.281355,75.003716,
Oceania,2003,,,UNKNOWN,4.2974424,9.702051,11.020874,74.97963,
Oceania,2004,,,UNKNOWN,4.463665,9.822365,10.759826,74.95399,
Oceania,2005,,,UNKNOWN,4.6208525,9.942407,10.497309,74.939285,
Oceania,2006,,,UNKNOWN,4.7813644,10.063928,10.234269,74.92044,
Oceania,2007,,,UNKNOWN,4.940778,10.185877,9.970468,74.90288,
Oceania,2008,,,UNKNOWN,5.076983,10.305142,9.704555,74.913315,
Oceania,2009,,,UNKNOWN,5.225511,10.426499,9.438382,74.90961,
Oceania,2010,,,UNKNOWN,5.3910365,10.54966,9.172496,74.88691,
Oceania,2011,,,UNKNOWN,5.5492187,10.6718645,8.904644,74.87427,
Oceania,2012,,,UNKNOWN,5.7029896,10.794297,8.634302,74.86841,
Oceania,2013,,,UNKNOWN,5.8584156,10.917622,8.362585,74.8613,
Oceania,2014,,,UNKNOWN,6.0145235,11.04042,8.089958,74.85518,
Oceania,2015,,,UNKNOWN,6.195937,11.162097,7.8174677,74.8245,
Oceania,2016,,,UNKNOWN,6.360372,11.284588,7.544095,74.81101,
Oceania,2017,,,UNKNOWN,6.5187745,11.407856,7.268038,74.805275,
Oceania,2018,,,UNKNOWN,6.6881337,11.530375,6.9919286,74.789566,
Oceania,2019,,0.370715232,UNKNOWN,6.8709826,11.508256,6.7546487,74.86611,3.240267755
Oman,2019,,0.000102097,OMN,,,,,0.251457286
Pakistan,2019,,0.089130928,PAK,,,,,6.21734837
Palau,2019,,0.000714681,PLW,,,,,6.444444444
Palestine,2019,,0.012047479,PSE,,,,,0.427424212
Panama,2019,,0.534683468,PAN,,,,,8.558407913
Papua New Guinea,2019,,0.312315587,PNG,,,,,13.62101185
Peru,2019,,0.026443196,PER,,,,,4.315995078
Philippines,2019,,36.38451062,PHL,,,,,37.23096275
Poland,2019,,0.002960821,POL,,,,,0.372782939
Portugal,2019,,0.007759393,PRT,,,,,0.373362018
Puerto Rico,2019,,0.007248907,PRI,,,,,0.440845551
Qatar,2019,,0.0,QAT,,,,,0.540960452
Reunion,2019,,0.0,REU,,,,,0.262092238
Romania,2019,,0.008167783,ROU,,,,,2.693570875
Russia,2019,,0.055336727,RUS,,,,,2.491149775
Saint Kitts and Nevis,2019,,0.000102097,KNA,,,,,1.830188679
Saint Lucia,2019,,0.04584168,LCA,,,,,23.36612022
Saint Martin,2019,,0.0,UNKNOWN,,,,,
Saint Vincent and the Grenadines,2019,,0.00826988,VCT,,,,,11.12612613
Samoa,2019,,0.0,WSM,,,,,8.822335025
Sao Tome and Principe,2019,,0.007861491,STP,,,,,9.623255814
Saudi Arabia,2019,,0.000306292,SAU,,,,,0.209402084
Senegal,2019,,0.017254441,SEN,,,,,4.029209622
Seychelles,2019,,0.0,SYC,,,,,0.336734694
Sierra Leone,2019,,0.370000551,SLE,,,,,11.67784462
Singapore,2019,,0.016743954,SGP,,,,,0.425223983
Sint Maarten,2019,,0.0,UNKNOWN,,,,,
Slovakia,2019,,0.0,SVK,,,,,0.315008246
Slovenia,2019,,0.00112307,SVN,,,,,0.405964406
Solomon Islands,2019,,0.010209728,SLB,,,,,5.253731343
Somalia,2019,,0.000204195,SOM,,,,,0.002719679
South Africa,2019,,0.435547007,ZAF,,,,,12.09855186
South America,2019,,5.513253248,UNKNOWN,,,,,
South Korea,2019,,0.039511648,KOR,,,,,0.237306003
Spain,2019,,0.023992861,ESP,,,,,0.435415196
Sri Lanka,2019,,0.985647164,LKA,,,,,7.290658413
Sub-Saharan Africa,2000,,,UNKNOWN,3.0122259,0.0,69.32282,27.664953,
Sub-Saharan Africa,2001,,,UNKNOWN,3.1577353,0.0,69.037895,27.804375,
Sub-Saharan Africa,2002,,,UNKNOWN,3.3036993,0.0,68.75072,27.945591,
Sub-Saharan Africa,2003,,,UNKNOWN,3.4496167,0.0,68.46405,28.086332,
Sub-Saharan Africa,2004,,,UNKNOWN,3.5955374,0.0,68.17625,28.228214,
Sub-Saharan Africa,2005,,,UNKNOWN,3.739918,0.0,67.89002,28.370058,
Sub-Saharan Africa,2006,,,UNKNOWN,3.8841133,0.0,67.60213,28.513756,
Sub-Saharan Africa,2007,,,UNKNOWN,4.0282083,0.0,67.31411,28.657686,
Sub-Saharan Africa,2008,,,UNKNOWN,4.1703157,0.0,67.032135,28.797552,
Sub-Saharan Africa,2009,,,UNKNOWN,4.3130527,0.0,66.74667,28.94027,
Sub-Saharan Africa,2010,,,UNKNOWN,4.4576178,0.0,66.45724,29.085144,
Sub-Saharan Africa,2011,,,UNKNOWN,4.601472,0.0,66.16995,29.228577,
Sub-Saharan Africa,2012,,,UNKNOWN,4.742198,0.0,65.88338,29.374424,
Sub-Saharan Africa,2013,,,UNKNOWN,4.880434,0.0,65.59676,29.522797,
Sub-Saharan Africa,2014,,,UNKNOWN,5.020707,0.0,65.31025,29.669046,
Sub-Saharan Africa,2015,,,UNKNOWN,5.169435,0.0,65.01683,29.81374,
Sub-Saharan Africa,2016,,,UNKNOWN,5.3148503,0.0,64.72836,29.956776,
Sub-Saharan Africa,2017,,,UNKNOWN,5.4564695,0.0,64.44149,30.10204,
Sub-Saharan Africa,2018,,,UNKNOWN,5.595348,0.0,64.15522,30.249432,
Sub-Saharan Africa,2019,,,UNKNOWN,5.7193336,0.5053036,63.607426,30.167952,
Sudan,2019,,0.010822312,SDN,,,,,18.25672109
Suriname,2019,,0.171217143,SUR,,,,,39.47160069
Sweden,2019,,0.003675502,SWE,,,,,0.423973695
Syria,2019,,0.00449228,SYR,,,,,0.029408319
Taiwan,2019,,0.054213657,TWN,,,,,0.315554808
Tanzania,2019,,0.590632779,TZA,,,,,29.59055254
Thailand,2019,,2.328430622,THA,,,,,19.55720564
Togo,2019,,0.044514415,TGO,,,,,15.06842366
Tonga,2019,,0.0,TON,,,,,6.403846154
Trinidad and Tobago,2019,,0.363160033,TTO,,,,,52.42939068
Tunisia,2019,,0.07024293,TUN,,,,,24.7574177
Turkey,2019,,1.462951959,TUR,,,,,19.85029366
Ukraine,2019,,0.087701566,UKR,,,,,8.950697822
United Arab Emirates,2019,,0.001429362,ARE,,,,,0.525534746
United Kingdom,2019,,0.07177439,GBR,,,,,0.442973493
United States,2000,,,USA,2.3450744,15.26663,7.976449,74.41184,
United States,2001,,,USA,2.4553704,15.470107,7.751578,74.322945,
United States,2002,,,USA,2.5685005,15.676425,7.5254703,74.2296,
United States,2003,,,USA,2.6816754,15.881963,7.2990794,74.13729,
United States,2004,,,USA,2.797141,16.088884,7.0714564,74.04251,
United States,2005,,,USA,2.9077706,16.295376,6.8430123,73.95384,
United States,2006,,,USA,3.0194216,16.504599,6.613124,73.86286,
United States,2007,,,USA,3.1306255,16.714312,6.382708,73.772354,
United States,2008,,,USA,3.2331533,16.917627,6.153222,73.696,
United States,2009,,,USA,3.3390622,17.125454,5.922219,73.61326,
United States,2010,,,USA,3.4539635,17.337303,5.6899505,73.51878,
United States,2011,,,USA,3.571022,17.546066,5.457105,73.4258,
United States,2012,,,USA,3.6815886,17.757292,5.222023,73.339096,
United States,2013,,,USA,3.785189,17.972448,4.9854603,73.25691,
United States,2014,,,USA,3.8899853,18.185287,4.749489,73.17524,
United States,2015,,,USA,4.0129786,18.395073,4.513753,73.07819,
United States,2016,,,USA,4.1291475,18.607126,4.2783055,72.98541,
United States,2017,,,USA,4.245349,18.82063,4.0425444,72.89149,
United States,2018,,,USA,4.3634415,19.0355,3.8058376,72.79523,
United States,2019,,0.248198493,USA,4.488883,19.078592,3.552523,72.880005,0.812815117
Uruguay,2019,,0.101893088,URY,,,,,26.75332178
Venezuela,2019,,0.611358527,VEN,,,,,23.54576378
Vietnam,2019,,2.881287406,VNM,,,,,11.53604528
Western Sahara,2019,,0.003879697,ESH,,,,,7.068728522
World,1950,2000000.0,,OWID_WRL,,,,,
World,1951,2000000.0,,OWID_WRL,,,,,
World,1952,2000000.0,,OWID_WRL,,,,,
World,1953,3000000.0,,OWID_WRL,,,,,
World,1954,3000000.0,,OWID_WRL,,,,,
World,1955,4000000.0,,OWID_WRL,,,,,
World,1956,5000000.0,,OWID_WRL,,,,,
World,1957,5000000.0,,OWID_WRL,,,,,
World,1958,6000000.0,,OWID_WRL,,,,,
World,1959,7000000.0,,OWID_WRL,,,,,
World,1960,8000000.0,,OWID_WRL,,,,,
World,1961,9000000.0,,OWID_WRL,,,,,
World,1962,11000000.0,,OWID_WRL,,,,,
World,1963,13000000.0,,OWID_WRL,,,,,
World,1964,15000000.0,,OWID_WRL,,,,,
World,1965,17000000.0,,OWID_WRL,,,,,
World,1966,20000000.0,,OWID_WRL,,,,,
World,1967,23000000.0,,OWID_WRL,,,,,
World,1968,27000000.0,,OWID_WRL,,,,,
World,1969,32000000.0,,OWID_WRL,,,,,
World,1970,35000000.0,,OWID_WRL,,,,,
World,1971,38000000.0,,OWID_WRL,,,,,
World,1972,44000000.0,,OWID_WRL,,,,,
World,1973,51000000.0,,OWID_WRL,,,,,
World,1975,46000000.0,,OWID_WRL,,,,,
World,1976,54000000.0,,OWID_WRL,,,,,
World,1977,59000000.0,,OWID_WRL,,,,,
World,1978,64000000.0,,OWID_WRL,,,,,
World,1979,71000000.0,,OWID_WRL,,,,,
World,1980,70000000.0,,OWID_WRL,,,,,
World,1981,72000000.0,,OWID_WRL,,,,,
World,1982,73000000.0,,OWID_WRL,,,,,
World,1983,80000000.0,,OWID_WRL,,,,,
World,1984,86000000.0,,OWID_WRL,,,,,
World,1985,90000000.0,,OWID_WRL,,,,,
World,1986,96000000.0,,OWID_WRL,,,,,
World,1987,104000000.0,,OWID_WRL,,,,,
World,1988,110000000.0,,OWID_WRL,,,,,
World,1989,114000000.0,,OWID_WRL,,,,,
World,1990,120000000.0,,OWID_WRL,,,,,
World,1991,124000000.0,,OWID_WRL,,,,,
World,1992,132000000.0,,OWID_WRL,,,,,
World,1993,137000000.0,,OWID_WRL,,,,,
World,1994,151000000.0,,OWID_WRL,,,,,
World,1995,156000000.0,,OWID_WRL,,,,,
World,1996,168000000.0,,OWID_WRL,,,,,
World,1997,180000000.0,,OWID_WRL,,,,,
World,1998,188000000.0,,OWID_WRL,,,,,
World,1999,202000000.0,,OWID_WRL,,,,,
World,2000,213000000.0,,OWID_WRL,3.7033863,10.872603,26.019512,59.4045,
World,2001,218000000.0,,OWID_WRL,3.985935,11.335858,26.0388,58.6394,
World,2002,231000000.0,,OWID_WRL,4.2745633,11.796122,26.058777,57.870537,
World,2003,241000000.0,,OWID_WRL,4.564884,12.255621,26.044748,57.134747,
World,2004,256000000.0,,OWID_WRL,4.8600082,12.712106,26.01943,56.408455,
World,2005,263000000.0,,OWID_WRL,5.150596,13.169611,25.952034,55.72776,
World,2006,280000000.0,,OWID_WRL,5.4449744,13.623553,25.881447,55.050026,
World,2007,295000000.0,,OWID_WRL,5.7405467,14.075386,25.787539,54.396534,
World,2008,281000000.0,,OWID_WRL,6.0234685,14.530793,25.611216,53.834515,
World,2009,288000000.0,,OWID_WRL,6.3141065,14.980321,25.44969,53.255886,
World,2010,313000000.0,,OWID_WRL,6.6227803,15.421236,25.310413,52.645576,
World,2011,325000000.0,,OWID_WRL,6.9352217,15.873149,25.125038,52.06659,
World,2012,338000000.0,,OWID_WRL,7.2388344,16.3224,24.887909,51.550865,
World,2013,352000000.0,,OWID_WRL,7.537689,16.779276,24.610676,51.072365,
World,2014,367000000.0,,OWID_WRL,7.836343,17.219267,24.388899,50.555504,
